Prostate 5y,Denmark,Finland,Norway,Sweden
1971-1975,39.0[36.1-42.2],46.3[42.9-50.0],51.0[48.1-54.2],53.0[51.1-55.0]*
1976-1980,41.0[38.1-44.2],49.3[45.8-53.0]*,52.1[48.7-55.8]*,57.6[55.4-59.8]
1981-1985,42.8[39.9-45.8],53.5[50.3-56.8]*,56.0[52.7-59.4],58.6[56.5-60.9]*
1986-1990,39.3[36.1-42.6],57.2[54.0-60.6]*,54.9[52.0-57.9]*,64.1[62.2-66.0]*
1991-1995,39.3[36.6-42.2]*,65.8[63.2-68.5]*,63.7[61.4-66.1]*,68.2[66.5-70.0]*
1996-2000,51.0[48.5-53.6]*,80.4[78.7-82.1]*,77.6[76.1-79.1]*,78.6[77.5-79.8]*
2001-2005,71.8[70.0-73.7]*,91.1[90.2-92.0]*,84.1[83.0-85.2]*,88.2[87.5-89.0]*
2006-2010,86.4[85.4-87.4]*,93.5[92.7-94.3],91.0[90.1-91.8]*,91.8[91.2-92.3]*
2011-2015,89.9[89.0-90.8],93.1[92.3-93.9],94.7[94.0-95.4],93.8[93.3-94.3]*
2016-2020,90.1[89.3-91.0],93.6[92.8-94.4],94.9[94.2-95.6],94.9[94.4-95.4]
